nearest_place,postal_code,city
"Hyderabad Bypass Toll Plaza",71000,Hyderabad
"Chandi Chowk Latifabad",71800,Hyderabad
"Gulistan-e-Ajmal Latifabad",71800,Hyderabad
"Zakriya Masjid Qasimabad",71100,Hyderabad
"Shahbaz Building Latifabad",71800,Hyderabad
"Sachal Sarmast Road Qasimabad",71100,Hyderabad
"Mallah ka Pul Hyderabad",71000,Hyderabad
"Rahim Nagar Hyderabad",71000,Hyderabad
"Qayyumabad Hyderabad",71000,Hyderabad
"Nasim Nagar Phase II Qasimabad",71100,Hyderabad
"Gulshan-e-Iqbal Latifabad",71800,Hyderabad
"Gulshan-e-Rabbani Latifabad",71800,Hyderabad
"Model Colony Cantt",71500,Hyderabad
"Shah Latif Town Qasimabad",71100,Hyderabad
"Bhitai Colony Qasimabad",71100,Hyderabad
"Gulshan-e-Maymar Qasimabad",71100,Hyderabad
"Pasha Qila Hyderabad Fort View",71000,Hyderabad
"Liaquat Medical College Jamshoro Road",71000,Hyderabad
"Hyderabad Gymkhana Race Course",71000,Hyderabad
"Sindh Museum Qasimabad",71100,Hyderabad
"Al-Abbas Town Latifabad",71800,Hyderabad
"New Sabeel Chowk Latifabad",71800,Hyderabad
"Wapda Colony Qasimabad",71100,Hyderabad
"Board of Intermediate Latifabad",71800,Hyderabad
"Rani Bagh Zoo Hyderabad",71000,Hyderabad
"Bhit Shah Road Tando Adam stop",71000,Hyderabad
"Ghulam Hussain Khaskheli Goth Latifabad",71800,Hyderabad
"Ayub Gate Cantt",71500,Hyderabad
"Kohsar Housing Society Latifabad",71800,Hyderabad
"Saudi Colony Latifabad Unit 12",71800,Hyderabad
"Atif Town Qasimabad",71100,Hyderabad
"Police Lines Saddar",71000,Hyderabad
"Khanot Railway Crossing Qasimabad",71100,Hyderabad
"Jamshoro Bridge approach Hyderabad",71000,Hyderabad
"Memon Society Latifabad",71800,Hyderabad
"Clifton beach sea view hara dariya",75500,Karachi
"Anarkali bazar mall road badshahi masjid",54000,Lahore
"Faisal mosque centaurus mall gigamall",44000,Islamabad
"Gulshan e iqbal block 4 numais jinnah ground",75300,Karachi
"Liberty market gulberg qaddafi stadium",54660,Lahore
"Saddar Empress Market Zainab Market",74400,Karachi
"DHA phase 5 bukhari commercial area",75500,Karachi
"Gulistan-e-Jauhar block 14 rabia city",75290,Karachi
"Nazimabad no 4 gol market",74600,Karachi
"Malir cantt airport star gate",75100,Karachi
"Bahadurabad Char Minar Tariq Road",74800,Karachi
"Johar Town Expo Center eme society",54770,Lahore
"Model Town circular road Link Road",54700,Lahore
"Defence Lahore phase 6 y block",54792,Lahore
"Shadman Market Ferozepur Road",54600,Lahore
"Iqbal Town moon market",54500,Lahore
"Gulshan-e-Ravi block D Samanabad",54000,Lahore
"Blue Area Super Market F-6 Markaz",44000,Islamabad
"G-10 Markaz F-11 Markaz",44000,Islamabad
"I-8 Markaz I-10 Markaz",44800,Islamabad
"Bara Kahu Simly Dam Road",44000,Islamabad
"Tarlai Koral Chowk",45500,Islamabad
"Murree Road Saddar Rawalpindi",46000,Rawalpindi
"Chandni Chowk Raja Bazar",46000,Rawalpindi
"Westridge III Airport Road",46000,Rawalpindi
"Peshawar Road Noor Khan Base",46000,Rawalpindi
"Satellite Town 6th Road",46000,Rawalpindi
"Faisalabad Clock Tower Jhang Bazar",38000,Faisalabad
"Madina Town Susan Road",38000,Faisalabad
"Peoples Colony No 1 D-Ground",38000,Faisalabad
"Gatwala Park Canal Road",38000,Faisalabad
"Jaranwala Road Sammundri Bypass",38000,Faisalabad
"Multan Hussain Agahi Ghanta Ghar",60000,Multan
"Bosan Road BZU University",60000,Multan
"Vehari Road Nawabpur Multan Cantt",60000,Multan
"Shah Rukn-e-Alam Colony",60000,Multan
"Qasim Bela Khanewal Road",60000,Multan
"Peshawar Sadar Chowk Qissa Khwani",25000,Peshawar
"University Road Board Bazar",25120,Peshawar
"Hayatabad Phase 3 Tatara Park",25000,Peshawar
"Charsadda Road Gulbahar",25000,Peshawar
"Warsak Road Mathra",25000,Peshawar
"Quetta Serena Hotel Liaquat Bazar",87300,Quetta
"Jinnah Road Sariab Road",87300,Quetta
"Cantt Quetta Staff College",87300,Quetta
"Brewery Road Samungli Road",87300,Quetta
"Gujranwala GTS Chowk Main Bazar",52250,Gujranwala
"Model Town Sialkot Road",52250,Gujranwala
"Wazirabad Road Kamoke Bypass",52250,Gujranwala
"Sialkot Paris Road Kashmir Road",51310,Sialkot
"Cantt Sialkot Cantt market",51310,Sialkot
"Sambrial Daska Road",51310,Sialkot
"Bhagtanwala Chowk",51310,Sialkot
"Bahawalpur Noor Mahal Mall Road",63100,Bahawalpur
"Model Town C Satellite Town",63100,Bahawalpur
"Bahawalpur Cantt main gate",63100,Bahawalpur
"Sukkur Barrage Rohri Bunder",65200,Sukkur
"Lab-e-Mehran Queens Road",65200,Sukkur
"Aror University Bhutta Road",65200,Sukkur
"Larkana Mohenjo-Daro Road",77150,Larkana
"Sachal Sarmast Road Chandka",77150,Larkana
"Nawabshah Sakrand Road",67450,Nawabshah
"Qazi Ahmed Road",67450,Nawabshah
"Mirpurkhas Umerkot Road",69000,Mirpurkhas
"Satellite Town Mirpurkhas",69000,Mirpurkhas
"Jacobabad Quetta Road",79000,Jacobabad
"Shikarpur Lakhi Ghulam Shah",78100,Shikarpur
"Ghotki Bagarji Road",65110,Ghotki
"Mianwali Express Road",42200,Mianwali
"Sargodha Faisalabad Road",40100,Sargodha
"Company Bagh University Road",40100,Sargodha
"Chakwal Talagang Road",48800,Chakwal
"Jhelum GT Road Shandar Chowk",49600,Jhelum
"Sarai Alamgir GT Road",49600,Jhelum
"Lalamusa Kharian Road",50200,Gujrat
"Gujrat GT Road Jalalpur Jattan",50700,Gujrat
"Mandi Bahauddin Malikwal Road",50400,Mandi Bahauddin
"Okara Depalpur Road",56300,Okara
"Sahiwal High Street Noor Shah",57000,Sahiwal
"Pakpattan Arifwala Road",57400,Pakpattan
"Toba Tek Singh Gojra Road",36050,Toba Tek Singh
"Jhang Sadar Chiniot Road",35200,Jhang
"Chiniot Faisalabad Road",35400,Chiniot
"Khanewal Multan Road",58150,Khanewal
"Burewala Chichawatni Road",61000,Burewala
"Vehari Mailsi Road",61100,Vehari
"Rajanpur Dera Ghazi Khan Road",33500,Rajanpur
"Dera Ghazi Khan Multan Road",32200,Dera Ghazi Khan
"Taunsa Shareef Road",32200,Dera Ghazi Khan
"Muzaffargarh Jhang Road",34200,Muzaffargarh
"Layyah Bhakkar Road",31200,Layyah
"Bhakkar Mianwali Road",30000,Bhakkar
"Kohat Hangu Road",26000,Kohat
"Bannu Lakki Marwat Road",28100,Bannu
"Dera Ismail Khan Tank Road",29050,Dera Ismail Khan
"Mardan Takht Bhai Road",23200,Mardan
"Swabi Topi Road",23430,Swabi
"Charsadda Mardan Road",24420,Charsadda
"Nowshera GT Road",24100,Nowshera
"Timergara Road Dir",18300,Timergara
"Swat Mingora Saidu Sharif",19130,Mingora
"Chitral Bazaar Ataliq Road",17200,Chitral
"Gilgit Bazaar NLI Chowk",15100,Gilgit
"Skardu Bazaar Kharpocho Fort",16100,Skardu
"Astore Main Bazar",14300,Gilgit  (Astore)
"Muzaffarabad AJK University",13100,Muzaffarabad
"Kotli Main Bazar",11100,Kotli
"Mirpur AJK New City",10250,Mirpur
"Rawalakot Main Bazar",12350,Rawalakot
"Bagh AJK Bazar",12500,Bagh
"Gwadar Marine Drive",91200,Gwadar
"Turbat Main Bazar",92600,Turbat
"Panjgur Bazar",93000,Panjgur
"Pasni Fish Harbour",91300,Pasni
"Jiwani Coastal Road",91100,Jiwani
"Ormara Makran Coastal Highway",91400,Ormara
"Khuzdar Main Bazar",89100,Khuzdar
"Kalat Main Bazar",88300,Kalat
"Zhob Main Bazar",85200,Zhob
"Loralai Main Bazar",84800,Loralai
"Dera Allah Yar Jaffarabad",80500,Dera Allah Yar
"Usta Muhammad Jaffarabad",80600,Usta Muhammad
"Nasirabad Main Bazar",80700,Nasirabad
"Kashmore Sindh",78200,Kashmore
"Thull Jacobabad",79100,Thull
"Moro Naushahro Feroze",67200,Moro
"Tando Adam Sanghar",68050,Tando Adam
"Shahdadkot Kambar",77300,Shahdadkot
"Kot Diji Khairpur",66200,Kot Diji
"Dadu Sehwan Road",76200,Dadu
"Sehwan Sharif Jamshoro",76140,Sehwan
"Hala Matiari",70120,Hala
"Khipro Sanghar",68120,Khipro
"Umerkot Thar",69100,Umerkot
"Mithi Tharparkar",69230,Mithi
"Nagar Parkar Thar",69240,Nagar Parkar
"Thatta Makli Road",73100,Thatta
"Badin Golarchi Road",72200,Badin
